2026-09-08 09:20:38 | VIX | BÁN | Khối lượng: 101,000 CP
2026-09-08 09:27:21 | VPB | BÁN | Khối lượng: 53,300 CP
2026-09-08 09:27:21 | DGW | MUA | Khối lượng: 64,800 CP
2026-09-08 09:34:11 | SSI | BÁN | Khối lượng: 100,100 CP
2026-09-08 09:34:11 | FPT | MUA | Khối lượng: 72,600 CP
2026-09-08 09:38:26 | VPB | BÁN | Khối lượng: 87,300 CP
2026-09-08 09:48:18 | VPB | BÁN | Khối lượng: 92,200 CP
2026-09-08 09:51:33 | VPB | BÁN | Khối lượng: 65,700 CP
2026-09-08 10:02:36 | VPB | BÁN | Khối lượng: 150,400 CP
2026-09-08 10:10:44 | VPB | MUA | Khối lượng: 160,200 CP
2026-09-08 10:10:44 | VPB | BÁN | Khối lượng: 70,600 CP
2026-09-08 10:13:27 | VPB | MUA | Khối lượng: 221,500 CP
2026-09-08 10:13:27 | VPB | BÁN | Khối lượng: 84,900 CP
2026-09-08 10:16:11 | VPB | BÁN | Khối lượng: 58,700 CP
2026-09-08 10:19:24 | TCB | BÁN | Khối lượng: 42,000 CP
2026-09-08 10:19:24 | VPB | BÁN | Khối lượng: 48,600 CP
2026-09-08 10:19:24 | MSN | MUA | Khối lượng: 42,200 CP
2026-09-08 10:19:24 | VSC | MUA | Khối lượng: 54,000 CP
2026-09-08 10:22:04 | VPB | MUA | Khối lượng: 136,400 CP
2026-09-08 10:22:04 | VPB | BÁN | Khối lượng: 87,700 CP
2026-09-08 10:22:04 | MSN | BÁN | Khối lượng: 46,300 CP
2026-09-08 10:24:43 | VPB | BÁN | Khối lượng: 47,600 CP
2026-09-08 10:28:48 | VIX | MUA | Khối lượng: 733,500 CP
2026-09-08 10:31:46 | GEX | MUA | Khối lượng: 89,900 CP
2026-09-08 10:34:26 | VIX | BÁN | Khối lượng: 55,600 CP
2026-09-08 10:34:26 | SSI | MUA | Khối lượng: 412,700 CP
2026-09-08 10:37:08 | HCM | MUA | Khối lượng: 60,900 CP
2026-09-08 10:37:08 | VIX | BÁN | Khối lượng: 314,000 CP
2026-09-08 10:37:08 | FPT | BÁN | Khối lượng: 102,700 CP
2026-09-08 10:39:48 | VPB | BÁN | Khối lượng: 52,900 CP
2026-09-08 10:39:48 | VIX | BÁN | Khối lượng: 52,300 CP
2026-09-08 10:39:48 | MSN | MUA | Khối lượng: 52,500 CP
2026-09-08 10:39:48 | MSN | BÁN | Khối lượng: 90,000 CP
2026-09-08 10:43:32 | VPB | BÁN | Khối lượng: 125,300 CP
2026-09-08 10:54:55 | NLG | BÁN | Khối lượng: 92,300 CP
2026-09-08 10:57:37 | VPB | BÁN | Khối lượng: 76,400 CP
2026-09-08 11:00:17 | VPB | BÁN | Khối lượng: 112,700 CP
2026-09-08 11:00:17 | NLG | BÁN | Khối lượng: 207,200 CP
2026-09-08 11:00:17 | FPT | BÁN | Khối lượng: 54,300 CP
2026-09-08 11:03:00 | VPB | BÁN | Khối lượng: 252,600 CP
2026-09-08 11:08:21 | TCB | BÁN | Khối lượng: 73,000 CP
2026-09-08 11:11:03 | VPB | BÁN | Khối lượng: 268,000 CP
2026-09-08 11:14:33 | MSN | MUA | Khối lượng: 66,900 CP
2026-09-08 11:17:15 | VPB | BÁN | Khối lượng: 204,200 CP
2026-09-08 11:23:11 | FPT | MUA | Khối lượng: 272,000 CP
2026-09-08 11:23:11 | FPT | BÁN | Khối lượng: 319,600 CP
2026-09-08 11:25:57 | CTG | BÁN | Khối lượng: 62,700 CP
2026-09-08 11:28:36 | VPB | BÁN | Khối lượng: 106,900 CP
